"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AWJ11_06695",15.3848341122538,0.865072334894174,0.461803009728532,1.8732496685171,0.0610339165415634,0.0786079904189073
"AWJ11_11955",17.1426265972776,0.808166488575511,0.431549741487439,1.87270761833844,0.0611087707816019,0.0786693872962437
"purH",2968.54919629051,0.182186484921823,0.0974340415941723,1.86984427558345,0.0615054459316484,0.0791448468324547
"AWJ11_07360",28.4268973829116,0.632951170848319,0.339150614197683,1.86628342792676,0.0620017221119495,0.0797479927964364
"AWJ11_05095",483.810397783081,-0.204446669532854,0.109734369178231,-1.86310516079781,0.0624474723021626,0.0802856440881646
"AWJ11_08775",30.3291561874706,-0.642053493318056,0.346516859849842,-1.85287807812954,0.0638998358609666,0.0821163965282581
"AWJ11_08415",9.59558992779119,1.06503919443568,0.575328965066218,1.85118299113116,0.06414323185758,0.0823727945050576
"AWJ11_13775",79.4522461295067,0.407013550746407,0.219877506787938,1.85109225901381,0.0641562815530061,0.0823727945050576
"AWJ11_16565",59.4942314614151,-0.467385611306467,0.252641369228536,-1.84999635148302,0.0643140754528371,0.0825387735523328
"AWJ11_01745",36.0945733123246,-0.590303809738342,0.319501299868536,-1.84757874218738,0.064663307284599,0.0829501823056868
"AWJ11_07150",19.9816052306657,0.743987028578997,0.403041375491292,1.84593213952812,0.0649020593285474,0.083219565660973
"AWJ11_14305",7.83683575344852,-1.33101361743665,0.724784068211204,-1.83642780769401,0.0662944100319428,0.0849672376583005
"ruvB",1279.49837076774,-0.167115407600926,0.0914911078216485,-1.82657540803526,0.0677636337020343,0.0868118441494853
"AWJ11_01050",291.527698071946,-0.258997233204744,0.141947480591596,-1.82459901454622,0.0680615622502381,0.0871163914870363
"AWJ11_08720",11.7353226262286,-1.13594700157585,0.622557845906243,-1.82464490496025,0.0680546323719493,0.0871163914870363
"AWJ11_01295",269.137510630149,0.254131434804197,0.139391221536375,1.82315236212977,0.0682803178393128,0.0873577541233295
"AWJ11_12645",1473.53816763764,0.185625187686745,0.101955048013561,1.82065715531864,0.0686589888070797,0.0878034085760886
